,map4,fcfp,estate,pubchem,rdkit,rad2d,ap,ph2,maccs,mhfp,lstar,daylight,lingo,dfs,asp,ecfp,avalon,ph3,tt,kr
lstar,0.4009519991541701,0.3369971277026908,0.168192391055349,0.21823512308586934,0.21836508132301893,0.42882033163579975,0.2581873689404218,0.0374345803450281,0.22532996176144074,0.43417725422474407,1.0,0.24325538776013675,0.2890843891522318,0.4348182346825495,0.4121614477788155,0.4658496184954802,0.23289617438192742,0.06694391090591904,0.3467528062168496,0.296445752348059
daylight,0.3342393698567376,0.2980735343354068,0.19142628063930645,0.3618830287758375,0.4230713316534212,0.28385522211845143,0.22042679166152707,0.033925707941990166,0.2457466210858341,0.3313164108618654,0.24325538776013675,1.0,0.2250392077393434,0.32701457294401665,0.3419267299864315,0.26683509841583114,0.3378627817230259,0.056580292163738576,0.2756612451320728,0.24749114521841795
lingo,0.3219836472889391,0.29728056882059595,0.18177633086045564,0.21446192884456114,0.2012942959347301,0.2890381328305344,0.24075093834252587,0.035401504872332554,0.23580811996687165,0.33636495797282767,0.2890843891522318,0.2250392077393434,1.0,0.28098072212726216,0.2795908297943576,0.3369332499251088,0.23133227017216162,0.056399672240920545,0.26420289344305625,0.2504295229871892
dfs,0.40237493171685845,0.3302987717845248,0.16848755044141747,0.25157712030167934,0.2939787485242031,0.35919575675342297,0.2512114750920721,0.03410632786480819,0.23049304833565346,0.3763810816049622,0.4348182346825495,0.32701457294401665,0.28098072212726216,1.0,0.631145482739784,0.40510185201501353,0.29867706919945725,0.06548353274947576,0.47071974836561,0.26309934976827787
asp,0.4342939963699801,0.34212276868314856,0.1748356799238753,0.25748471338702,0.2925183703677598,0.36909681227863045,0.2806789546952369,0.03704250295159386,0.23873768700770057,0.3846785846446634,0.4121614477788155,0.3419267299864315,0.2795908297943576,0.631145482739784,1.0,0.39208620416218787,0.2824124654178928,0.06645711818710462,0.4403139262365856,0.28394553207986045
ecfp,0.4313071595975259,0.39753563939452674,0.22699298666055787,0.24952642337309908,0.23677069199457257,0.41654258224814533,0.29259986960122647,0.0364213466316587,0.273002607975471,0.47839168972140483,0.4658496184954802,0.26683509841583114,0.3369332499251088,0.40510185201501353,0.39208620416218787,1.0,0.2773639183069305,0.06375663007277661,0.38926456853865266,0.3137213871610073
avalon,0.282969743960246,0.2757361363195827,0.21735845565560627,0.2955734902817671,0.3436822675289432,0.26547384094873916,0.2214246066009974,0.03110847768242612,0.3101332182064882,0.30170795961162317,0.23289617438192742,0.3378627817230259,0.23133227017216162,0.29867706919945725,0.2824124654178928,0.2773639183069305,1.0,0.05691950518951876,0.2747427267440836,0.2291207774586336
ph3,0.07278542353169218,0.0669196814040776,0.038113006396588475,0.05844155844155844,0.056659588715219644,0.0686377733528344,0.053465699836120456,0.08720417980933584,0.04860438069393293,0.06892852737493171,0.06694391090591904,0.056580292163738576,0.056399672240920545,0.06548353274947576,0.06645711818710462,0.06375663007277661,0.05691950518951876,1.0,0.06058697069551887,0.06003850288110804
tt,0.3843327635729264,0.3215519216197642,0.17290833318648788,0.25189430650760364,0.2586257026555534,0.3504533119526335,0.2731634037604187,0.03134416465488379,0.23020449699554177,0.3601318965972968,0.3467528062168496,0.2756612451320728,0.26420289344305625,0.47071974836561,0.4403139262365856,0.38926456853865266,0.2747427267440836,0.06058697069551887,1.0,0.25825785476396057
kr,0.31888667641720564,0.2956726109711184,0.21789370737810354,0.2243784031436677,0.22650399125975787,0.31377645421064687,0.26496942677404006,0.038320058503233535,0.27492995471285836,0.3408209836296675,0.296445752348059,0.24749114521841795,0.2504295229871892,0.26309934976827787,0.28394553207986045,0.3137213871610073,0.2291207774586336,0.06003850288110804,0.25825785476396057,1.0
