,SMILES
235,Ic1cc(-c2ccccc2)ncn1
236,N[C@H](Cc1ccc(I)cc1)C(=O)O
238,COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1
239,Cc1nc[nH]c1CCN
240,Cc1cc(=O)oc2c(C=O)c(O)ccc12
242,CCC(=O)N[C@@H]1Cc2ccccc2[C@H](c2ccccc2)C1
243,O=S(=O)(O)c1ccc(O)cc1
244,c1ccc([C@@H]2CNCc3ccccc32)cc1
246,c1ccc(CCCCN2CCC(c3ccccc3)CC2)cc1
249,CCCc1ccc(C(=O)O)cc1
250,N#Cc1ccncn1
251,CC(C)(C)c1ccc(O)cc1
253,C1CCC2(CC1)CCNCC2
255,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1
256,Brc1c(Br)c(Br)c2n[nH]nc2c1Br
259,NS(=O)(=O)c1ccc2c(c1)[C@H]1C=CC[C@@H]1[C@@H](c1ccc(Br)cc1)N2
261,O=C(O)c1ccc(N2C(=O)/C(=C/c3ccc(-c4ccc([N+](=O)[O-])cc4)o3)C=C2c2ccccc2)cc1
265,O=C(O)C(Cc1ccccc1[N+](=O)[O-])=NNc1nc(-c2ccc(Cl)c(Cl)c2)cs1
266,Cn1cc(-c2ccc(S(=O)(=O)n3ccc(/C=C/C(=O)Nc4ccccc4N)c3)cc2)cn1
270,CCn1c(-c2ccc(Cl)cc2)n[nH]c1=O
271,Nc1nc(=O)c2sc(=O)n([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2[nH]1
272,NCC(=O)CCC(=O)O
274,O=C1CN=C(c2cccc(Br)c2)c2oc3ccccc3c2N1
277,NCCc1c[nH]c2ccc(C(N)=O)cc12
279,OCc1cncc(F)c1
280,Fc1cncnc1
281,O=c1[nH]cc(F)c(=O)[nH]1
283,O=c1ncc(F)c[nH]1
285,O=Cc1ccc(CO)o1
288,CCCCC[C@@H](O)CCCC(=O)O
289,CC1=NC[C@H](O)[C@@H](C(=O)O)N1
291,CC(C)N(CC[C@H](c1ccccc1)c1cc(CO)ccc1O)C(C)C
294,N[C@@H](Cc1c[nH]c2ccc(O)cc12)C(=O)O
297,Ic1cncc(OC[C@@H]2CCN2)c1
299,Cc1ccc(C[N+](C)(C)C)o1
301,C[C@H]1NC(=O)NC1=O
303,C[C@@H]1NC(=O)NC1=O
304,CCCCCCCC(=O)c1ccc(O)c(C(=O)O)c1
305,O=C(O)c1cc(=O)c2c(Cl)cc(Cl)cc2[nH]1
308,O[C@@H]1[C@@H](CCl)O[C@@H](n2cnc3c(N[C@H]4C[C@@H]5CC[C@H]4C5)ncnc32)[C@@H]1O
309,Nc1cc2c3ccccc3ccc2c2ccccc12
310,CC1(C)S[C@@H]2[C@H](N)C(=O)N2[C@H]1C(=O)O
312,c1ccc(CNc2ncnc3nc[nH]c23)cc1
314,COc1cc2c(CCNC(C)=O)c[nH]c2cc1Cl
317,N#[N+]CC(=O)CC[C@H](N)C(=O)O
319,CCCCCCCCC(=O)NCc1cc(OC)c(O)cc1I
321,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
323,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](N)[C@H]2SC1
325,O=C(O)c1cc(=O)c2ccc(Cl)cc2[nH]1
328,CCCN(CCC)[C@H]1CCc2ccc(O)cc2C1
331,CCCN(C/C=C/I)[C@H]1CCc2ccc(O)cc2C1
332,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)N[C@H]4O
334,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC(=O)[C@H]3[C@@H]4CCC(=O)[C@@]4(C)CC[C@@H]32)C1
335,COc1ccc2nc3c(c(N)c2c1)CCCC3
336,Cn1cnc2[nH]c(=O)[nH]c(=O)c21
337,O=[N+]([O-])c1cccc2c[nH]nc12
340,O=C1c2ccccc2NC2=CCCCCN12
341,Nc1ncnc2c1nc(Br)n2[C@@H]1O[C@@H]2CO[P@@](=O)(O)O[C@H]2[C@H]1O
343,Nc1nc(=O)c2nc(Br)n([C@@H]3O[C@@H]4CO[P@@](=O)(O)O[C@H]4[C@H]3O)c2[nH]1
345,CCCN(CCC)[C@H]1CCc2cccc(O)c2C1
347,CCCN(C/C=C/I)[C@H]1CCc2cccc(O)c2C1
349,CCC(=O)N[C@H]1CCc2cccc(OC)c2C1
351,Cc1oc(=O)oc1CCl
352,Nc1c2ccccc2nc2ccccc12
354,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(N)cccc3nc2-1
356,O=C(O)c1c2ccccc2cc2ccccc12
358,COc1ccc2c(NC(=O)Nc3cccc(C(F)(F)F)n3)ccnc2c1
360,O=C(O)c1ccccc1NC(=O)N1CCC(c2ccccc2C(F)(F)F)CC1
362,O=C(O)c1cc(C(=O)O)c(C(=O)N(Cc2cccc(Oc3ccccc3)c2)[C@H]2CCCc3ccccc32)cc1C(=O)O
364,CC(=O)N[C@@H]1N=C(c2ccccc2)c2ccccc2NC1=O
365,COc1cc2c(cc1OCCCN1CCCC1)N=C(N)C21CCC1
370,Cc1ccc(N2CCN(Cc3nc4ccccc4[nH]3)CC2)cc1C
371,Cc1cccc(NC(=O)CN2CCC(c3ccccn3)CC2)c1
373,Clc1cccc(-c2nnnn2Cc2cccnc2)c1Cl
375,CNC(=O)Nc1ccc2c(c1)CC[C@@]21OC(=O)N(CC(=O)N(Cc2ccc(F)cc2)[C@@H](C)C(F)(F)F)C1=O
376,CN1C[C@H]2CN(c3ccc(-c4ccccc4)nn3)C[C@H]2C1
378,CS(=O)(=O)Nc1c(O)ccc2c1CCC[C@@H]2C1=NCCN1
379,Cc1[nH]nc2ccc(-c3cncc(OC[C@@H](N)Cc4ccccc4)c3)cc12
381,NCCCCCCCCCCNS(=O)(=O)c1cccc2c(Cl)cccc12
384,N#Cc1c(O)c2c(-c3ccc(-c4ccccc4O)cc3)csc2[nH]c1=O
387,O=C(Nc1ccc(S(=O)(=O)C(F)(F)F)cc1)C1=CCN(c2ncccc2C(F)(F)F)CC1
389,COc1cc(NC(=O)c2ccc(-c3ccc(Cl)cc3)o2)cc(OC)c1
391,C[C@H](N/C(=N\c1cccc2ncccc12)NC#N)c1ccccc1
392,C[C@H](/N=C(/NC#N)Nc1cccc2ncccc12)c1ccccc1
393,Clc1cccc(-n2nnnc2NCc2ccccc2Oc2ccccn2)c1Cl
395,CCC(=O)c1cc(-c2ccc(Cl)cc2)n(-c2ccc(S(N)(=O)=O)cc2)c1C
397,CCCCOc1ccc(-c2cncc(C(=O)NCc3cccnc3N3CCOCC3)c2)cc1Cl
399,O=C(Nc1ccccc1)Nc1ccc(-c2ccc(C(=O)[C@@H]3CCC[C@H]3C(=O)O)cc2)cc1
402,CNC(=O)c1cccc(NC(=O)N2CCC(Oc3ccccc3Cl)CC2)c1
404,CCC(=N\O)/C(C)=C/c1ccc(F)cc1
406,Nc1nc2c(c(N3CCNCC3)n1)CCC1=C2[C@@H]2CCCC[C@@H]2O1
408,CC1=C(C)C(=O)C(CC[C@](C)(O)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)=C(C)C1=O
410,CCCCCCCCCC[C@@H](O)[C@H]1C=C[C@@H]2C(=O)N(c3ccccc3)C(=O)[C@@H]2N1Nc1ccc([N+](=O)[O-])cc1
412,Cc1ccc(Sc2cncc3sc(C(N)=O)cc23)cc1
416,CS(=O)(=O)Nc1c(O)ccc2c1CCC[C@H]2C1=NCCN1
418,Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1csc(C(C)(C)C)n1
420,COc1ccc(CC(=O)N[C@@H](N/C(=N/C#N)Nc2cccc3ncccc23)C(C)(C)C)cc1OC
423,NC[C@@H]1O[C@H](C23CC4CC(CC(C4)C2)C3)Cc2c1ccc(O)c2O
425,O=C(Nc1ccccc1)Nc1ccc(-c2ccc(C(=O)[C@@H]3CCC[C@@H]3C(=O)O)cc2)cc1
426,CCOC(=O)Nc1ccc(NCc2c(C)cc(C)cc2C)cc1N
428,C[n+]1ccn(C[C@@]2(C)[C@H](C(=O)O)N3C(=O)C[C@H]3S2(=O)=O)n1
429,CC[C@@H](C)NS(=O)(=O)c1ccc(F)c(C(=O)Nc2ccc(F)c(F)c2)c1
430,Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1
433,Cc1ccc(Oc2ccccc2-c2csc(NC3=NCCCN3)n2)c(C)c1
434,CO[C@H]1C[C@H](O[C@H]2[C@H](C)O[C@@H](O[C@@H]3/C(C)=C/C[C@@H]4C[C@@H](C[C@]5(C=C[C@H](C)[C@@H](C(C)C)O5)O4)OC(=O)[C@@H]4C=C(C)[C@@H](O)[C@H]5OC/C(=C\C=C\[C@@H]3C)[C@@]45O)C[C@@H]2OC)O[C@@H](C)[C@@H]1O
435,Cc1ccc(-c2ccc(C)cn2)nc1
436,CC(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)N[C@H](Cc1cccnc1)C(=O)N[C@@H](CO)C(=O)N(C)[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O
437,CCNC(=O)c1cc2c(-c3cc(C(C)(C)O)ccc3Oc3c(C)cc(F)cc3C)cn(C)c(O)c-2n1
438,O=C(NCc1ccncc1)[C@@]12C[C@H]3C[C@@H](C1)C[C@](c1ccc(Cl)cc1)(C3)C2
439,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1
441,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC=C2c1cccnc1
443,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC=C(c5cccnc5)[C@@]4(C)CC[C@@H]32)C1
446,COc1c(/C=C/c2ccc(NS(C)(=O)=O)cc2)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)C
447,N[C@H]1CCN(c2cccnc2)C1
448,C[C@@H]1CCCN1CCc1cc2cc(-c3ccc(C#N)cc3)ccc2o1
449,C#Cc1cccc2c1c(C(=O)c1ccc(Cn3c(C)nc4cnccc43)c(F)c1)cn2C(=O)N(C)C
451,O=C(c1cc(S(=O)(=O)Nc2ccccc2F)c(F)cc1Cl)N1CCN2CCC[C@@H]2C1
452,Nc1ncnc2nc(-c3ccc(N4CCOCC4)nc3)cc(-c3cccc(Br)c3)c12
454,c1ccc(N2CCN(Cc3nc4ccccc4[nH]3)CC2)nc1
456,CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCN(Cc4ccccc4-c4ccc(Cl)cc4)CC3)cc2)cc1[N+](=O)[O-]
460,COc1ccc(S(=O)(=O)Nc2cccnc2Nc2ccc(O)cc2)cc1
464,O=C(OC(C(F)(F)F)C(F)(F)F)N1CCN(Cc2ccc(C(F)(F)F)cc2N2CCCC2)CC1
465,FC(F)(F)Oc1ccc(Nc2ccc3cccc(Cl)c3n2)cc1
466,Oc1ccc(C2(c3ccccc3F)CCC(F)(F)CC2)cc1
468,CCCCOCCOc1nc(-c2ccc(C(=O)O)c(F)c2)sc1C
470,C/C(=N\NC(=O)[C@@H]1C(=O)NC[C@H]1c1ccccc1)c1cccc(Br)c1
473,C/C(=N\NC(=O)[C@@H](NC(=O)c1ccccc1)c1n[nH]c(=O)c2ccccc12)c1cccc(Br)c1
474,CCCCCCCCc1ccc(-c2ccc(C(=O)O)cc2)cc1
477,CCN1C(C)(C)CC(Oc2ccc(C(=O)Nc3ccc(NC(=O)Nc4cc(C(C)(C)C)on4)cc3)nc2)CC1(C)C
479,CN(C)CC[C@@]1(c2ccc(Cl)cc2)Cc2ccccc2C(=O)O1
482,CCCCCCCCCCCCCCCCCC[S+](CCC)c1ccccc1C(=O)OCC
483,CCCCC1CCN(CCCN2C(=O)COc3cc(F)ccc32)CC1
484,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1N
487,CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12
488,C[C@H](Nc1ncnc2nc[nH]c12)c1nc2ccc(F)cc2c(=O)n1-c1ccccc1
489,CC(=O)NCCCS(=O)(=O)O
492,C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O
496,CN(C)c1nc(N)c(C(=O)Nc2cccnc2)nc1Cl
498,O=C(O)c1ccc(CN2C[C@@H]3C[C@H]2CN3Cc2ccc(Oc3ccc(-c4ncco4)cc3)cc2)cc1
499,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1
501,CCN(CC)CCNC(=O)c1ccc(NC(C)=O)cc1
502,CC(=O)O[C@H]1CN2CCC1CC2
